# time,x,y,yaw,truth_x,truth_y,truth_yaw
5.000000000000000000e-01,7.236000000000000765e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.200000000000003619e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,1.085399999999999698e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000682e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,1.527599999999999236e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.520000000000001072e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,1.889399999999998858e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000001392e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000027e+00,2.291399999999998438e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.280000000000001747e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479999999999999982e+00,2.693399999999998018e-01,2.803786314172867659e-18,2.775557561562891351e-17,2.680000000000001825e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,3.135600000000000609e-01,4.031137867895985406e-18,2.775557561562891351e-17,3.120000000000002216e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.879999999999999893e+00,3.497400000000002174e-01,1.749054193980646685e-17,2.775557561562891351e-17,3.480000000000002536e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+00,3.899400000000004529e-01,1.860631607955475571e-17,2.775557561562891351e-17,3.880000000000002891e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000000000249e+00,4.301400000000005774e-01,1.916689568775290826e-17,2.775557561562891351e-17,4.280000000000003246e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,4.743600000000008365e-01,2.025544860858849347e-17,2.775557561562891351e-17,4.720000000000003637e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e+00,5.145600000000010166e-01,2.137122274833678233e-17,2.775557561562891351e-17,5.120000000000003437e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999911e+00,5.547600000000012521e-01,2.247362034736494316e-17,2.775557561562891351e-17,5.520000000000003793e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000089e+00,5.949600000000014877e-01,2.358939448711323202e-17,2.775557561562891351e-17,5.920000000000004148e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.299999999999999822e+00,6.351600000000017232e-01,2.470516862686152088e-17,2.775557561562891351e-17,6.320000000000004503e-01,0.000000000000000000e+00,0.000000000000000000e+00
