# time,x,y,yaw,truth_x,truth_y,truth_yaw
4.800000000000000377e-01,6.834000000000001185e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000003264e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,1.085399999999999698e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000682e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000044e-01,1.487399999999999278e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000001037e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,1.889399999999998858e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000001392e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000027e+00,2.291399999999998438e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.280000000000001747e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479999999999999982e+00,2.693399999999999128e-01,8.440349696243339827e-18,2.775557561562891351e-17,2.680000000000001825e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,3.135600000000001719e-01,9.667701249966457574e-18,2.775557561562891351e-17,3.120000000000002216e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.879999999999999893e+00,3.497400000000003284e-01,1.570949731558372289e-17,2.775557561562891351e-17,3.480000000000002536e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+00,3.899400000000005639e-01,1.682527145533201175e-17,2.775557561562891351e-17,3.880000000000002891e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000000000249e+00,4.301400000000007995e-01,1.794104559508030061e-17,2.775557561562891351e-17,4.280000000000003246e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.479999999999999982e+00,4.703400000000010350e-01,2.468608679280704384e-17,2.775557561562891351e-17,4.680000000000003602e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.680000000000000160e+00,5.105400000000013261e-01,2.580186093255533270e-17,2.775557561562891351e-17,5.080000000000003402e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.879999999999999893e+00,5.507400000000013396e-01,3.464839440246132579e-17,2.775557561562891351e-17,5.480000000000003757e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.080000000000000071e+00,5.909400000000015751e-01,3.576416854220961466e-17,2.775557561562891351e-17,5.880000000000004112e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.280000000000000249e+00,6.311400000000018107e-01,3.687994268195790352e-17,2.775557561562891351e-17,6.280000000000004468e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.479999999999999982e+00,6.713400000000022683e-01,4.270561855957422365e-17,2.775557561562891351e-17,6.680000000000004823e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000178e+00,7.155600000000025274e-01,4.393297011329734448e-17,2.775557561562891351e-17,7.120000000000005214e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.879999999999999893e+00,7.517400000000027394e-01,4.930565637853676754e-17,2.775557561562891351e-17,7.480000000000005533e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.080000000000000071e+00,7.919400000000029749e-01,5.151355290315154948e-17,2.775557561562891351e-17,7.880000000000005889e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.280000000000000249e+00,8.321400000000032104e-01,5.262932704289983834e-17,2.775557561562891351e-17,8.280000000000006244e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.480000000000000426e+00,8.723400000000034460e-01,6.157494921837800668e-17,2.775557561562891351e-17,8.680000000000006599e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.679999999999999716e+00,9.125400000000036815e-01,6.269072335812630170e-17,2.775557561562891351e-17,9.080000000000006954e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.879999999999999893e+00,9.527400000000039171e-01,6.616275015307816001e-17,2.775557561562891351e-17,9.480000000000007310e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.080000000000000071e+00,9.929400000000041526e-01,7.081290327563181228e-17,2.775557561562891351e-17,9.880000000000007665e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.280000000000000249e+00,1.033140000000003500e+00,7.192867741538008265e-17,2.775557561562891351e-17,1.028000000000000691e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.480000000000000426e+00,1.073340000000002625e+00,7.124454942889980321e-17,2.775557561562891351e-17,1.068000000000000727e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000178e+00,1.117560000000001663e+00,7.247190098262289322e-17,2.775557561562891351e-17,1.112000000000000766e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.879999999999999893e+00,1.143740000000000867e+00,7.410633462183741668e-17,2.775557561562891351e-17,1.148000000000000798e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.099999999999999645e+00,1.187959999999999905e+00,7.533368617556050669e-17,2.775557561562891351e-17,1.192000000000000837e+00,0.000000000000000000e+00,0.000000000000000000e+00
