# time,x,y,yaw,truth_x,truth_y,truth_yaw
3.680000000000000160e+00,2.582735484420410343e-01,-1.675093633004231175e-03,1.570064350313067347e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.879999999999999893e+00,2.582735484420410343e-01,-1.675093633004231175e-03,1.570064350313067347e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.080000000000000071e+00,2.582735484420410343e-01,-1.675093633004231175e-03,1.570064350313067347e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.280000000000000249e+00,2.582735484420410343e-01,-1.675093633004231175e-03,1.811264350313067095e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000397e-02
4.480000000000000426e+00,2.582735484420410343e-01,-1.675093633004231175e-03,2.213264350313067230e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.400000000000004297e-02
4.679999999999999716e+00,2.582735484420410343e-01,-1.675093633004231175e-03,2.615264350313066810e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000924e-01
4.879999999999999893e+00,2.036229821584907285e-01,-9.447168747735700325e-03,2.570429491506385777e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.440000000000001001e-01
5.080000000000000071e+00,1.514165754628139515e-01,1.067362020690149549e-03,2.668623225633711682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.840000000000000802e-01
5.280000000000000249e+00,1.383649737888947850e-01,3.695994712796611421e-03,2.994671659165542565e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.240000000000002267e-01
5.480000000000000426e+00,1.008814160561965212e-01,2.300278563688205186e-02,3.071766933303675673e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.640000000000001235e-01
5.700000000000000178e+00,5.771758318832644757e-02,6.595248371452444927e-03,3.324682456983067413e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.080000000000002736e-01
5.879999999999999893e+00,5.771758318832644757e-02,6.595248371452444927e-03,3.565882456983068827e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
6.080000000000000071e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.465981087087205981e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
6.280000000000000249e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.465981087087205981e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
6.480000000000000426e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.465981087087205981e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
6.679999999999999716e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.465981087087205981e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
6.900000000000000355e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.465981087087205981e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
7.080000000000000071e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.465981087087205981e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.320000000000003504e-01
7.280000000000000249e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.335130087087206374e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.189800000000003743e-01
7.480000000000000426e+00,4.127648136083088976e-02,2.056315928732936442e-03,3.001464805812207870e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.857794745000003522e-01
7.679999999999999716e+00,4.127648136083088976e-02,2.056315928732936442e-03,2.465987205618302425e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.324981212468755221e-01
7.879999999999999893e+00,3.150979595021751595e-02,2.449358736799141234e-03,1.851680896076768057e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.724981212468754410e-01
8.080000000000000071e+00,2.513930837773258736e-02,5.168440457507329821e-04,1.219064264182136703e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.124981212468754155e-01
8.279999999999999361e+00,3.649375102713227348e-02,-1.045309095847572842e-03,7.719097754853262994e-02,1.450684639868063223e-02,1.058638197367339252e-03,6.919377342078843196e-02
8.480000000000000426e+00,7.348519259486002708e-02,-8.870596314432986282e-04,6.755882828243801874e-02,5.406131315798137077e-02,3.603626977521681620e-03,6.032420820339710887e-02
8.679999999999999716e+00,1.130588077979398920e-01,1.125500557199866740e-03,5.954685361256319143e-02,9.399758372667252337e-02,5.858871250177900836e-03,5.249812124687539688e-02
8.880000000000000782e+00,1.494235250089799572e-01,4.256480279884386486e-04,5.408283562757686125e-02,1.321343506042661209e-01,7.711071417597913612e-03,4.467203429035367102e-02
9.080000000000000071e+00,1.898494880455393330e-01,2.376068105570030425e-04,4.688295887215726543e-02,1.721010273026711002e-01,9.340975509938315158e-03,3.684594733383196596e-02
9.279999999999999361e+00,2.286205599617330275e-01,1.359984804835017921e-03,3.918407663982412248e-02,2.106253711271552365e-01,1.061356976222226599e-02,2.901986037731023663e-02
9.480000000000000426e+00,2.681478188666184814e-01,2.785429891626597931e-03,3.382212557201004499e-02,2.502491753497328442e-01,1.160732540954593356e-02,2.119377342078848647e-02
9.679999999999999716e+00,3.065774126722171644e-01,3.943597225459446326e-03,2.725391974938630793e-02,2.902428487532214829e-01,1.231521218451727545e-02,1.545464298600587524e-02
9.880000000000000782e+00,3.444994339706473618e-01,4.915578835887474130e-03,2.443208568503472261e-02,3.284208434039173619e-01,1.285476660360822428e-02,1.284594733383194985e-02
1.008000000000000007e+01,3.809764221796438921e-01,5.040439504502447488e-03,2.188085554132077060e-02,3.684181679217088945e-01,1.331642020348693459e-02,1.023725168165802273e-02
1.027999999999999936e+01,4.177294503741690868e-01,6.354164044187090438e-03,1.744094153994521154e-02,4.069620635771415418e-01,1.366187666130785558e-02,7.628556029484096467e-03
1.050000000000000000e+01,4.610842479891862356e-01,7.164289371131022516e-03,1.410248477873175810e-02,4.505975783609766361e-01,1.393167429185534871e-02,4.758990812092792587e-03
1.067999999999999972e+01,4.988964205552350872e-01,8.263269108857577636e-03,1.200880685861816823e-02,4.847791723861211710e-01,1.405326986711609785e-02,2.411164725136265632e-03
1.088000000000000078e+01,5.360654987137332128e-01,7.230477443585561423e-03,7.301119226436046140e-03,5.229609568941432363e-01,1.409481866588571143e-02,-1.975309270376533624e-04
1.109999999999999964e+01,5.781568801094711940e-01,7.097535992810608332e-03,3.895719057520948252e-03,5.651427067923096015e-01,1.402738768996328843e-02,-3.067096144428964506e-03
1.127999999999999936e+01,6.135531690658470039e-01,7.012490801217853911e-03,3.310172913750646442e-03,6.007787402699172885e-01,1.387587458847634736e-02,-5.414922231385487124e-03
1.148000000000000043e+01,6.525089017146874504e-01,7.100495884732270155e-03,1.880899415848618023e-03,6.407778259596144110e-01,1.360710588482005531e-02,-8.023617883559399505e-03
1.167999999999999972e+01,6.905704169911198731e-01,7.134994273611919985e-03,-4.427233064529757984e-04,6.789579653254647074e-01,1.325024103088331788e-02,-1.063231353573332490e-02
1.188000000000000078e+01,7.327512402027198668e-01,5.242683501181340938e-03,-1.617620212583881873e-03,7.189552090639736992e-01,1.278113321918729339e-02,-1.219753092703768256e-02
1.208000000000000007e+01,7.702766858932411642e-01,3.998864982317634764e-03,-2.640902481719544122e-03,7.574977010498560315e-01,1.230339716816421410e-02,-1.324100918790724855e-02
1.227999999999999936e+01,8.098078978994770472e-01,3.590582086129747580e-03,-2.896723049003460497e-03,7.971304582347136236e-01,1.176872231777810821e-02,-1.350187875312463918e-02
1.248000000000000043e+01,8.512395580993877831e-01,1.888987464706597813e-03,-4.277893817471493769e-03,8.371268122755057828e-01,1.122866357685256208e-02,-1.350187875312463918e-02
1.269999999999999929e+01,8.919509097742771564e-01,5.360846269369043404e-04,-4.107767386502599039e-03,8.793047856276138274e-01,1.065914708642198144e-02,-1.350187875312463918e-02
1.290000000000000036e+01,9.303233133015007539e-01,3.784588326054931506e-04,-4.107767386502599039e-03,9.174831235756426562e-01,1.014363647008395541e-02,-1.350187875312463918e-02
1.308000000000000007e+01,9.620338277522022530e-01,-1.366793886225577126e-03,-3.121921320480312151e-03,9.520254293381449351e-01,9.677222102920979979e-03,-1.350187875312463918e-02
1.327999999999999936e+01,9.999821850185122152e-01,-2.854175976197598913e-03,-3.767512297656492974e-03,9.916581801603844282e-01,9.142072986912937876e-03,-1.350187875312463918e-02
1.348000000000000043e+01,1.037883052714496657e+00,-3.345695323580328423e-03,-3.928910041950539264e-03,1.029836518108412813e+00,8.626562370574911848e-03,-1.350187875312463918e-02
1.367999999999999972e+01,1.074066183198820523e+00,-5.481825762136727925e-03,-4.659304259068543057e-03,1.069832872149204972e+00,8.086503629649365726e-03,-1.350187875312463918e-02
