# time,x,y,yaw,truth_x,truth_y,truth_yaw
4.800000000000000377e-01,6.800000000000003264e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.800000000000003264e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-01,1.080000000000000682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000682e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000044e-01,1.480000000000001037e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000001037e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,1.880000000000001392e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.880000000000001392e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000027e+00,2.280000000000001747e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.280000000000001747e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479999999999999982e+00,2.679995371566699092e-01,2.652394615587150891e-04,3.490000000000034741e-03,2.680000000000001825e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.680000000000000160e+00,3.079992935549172306e-01,4.048391781685624141e-04,3.490000000000034741e-03,3.080000000000002180e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.899999999999999911e+00,3.519990255929891787e-01,5.583988664394046956e-04,3.490000000000083313e-03,3.520000000000002571e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+00,3.879988063514117624e-01,6.840386113882693155e-04,3.490000000000083313e-03,3.880000000000002891e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000000000249e+00,4.279985627496590284e-01,8.236383279981061237e-04,3.490000000000083313e-03,4.280000000000003246e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.479999999999999982e+00,4.679983191479062943e-01,9.632380446079781685e-04,3.490000000000138825e-03,4.680000000000003602e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.680000000000000160e+00,5.079980755461535047e-01,1.102837761217829830e-03,3.490000000000138825e-03,5.080000000000003402e-01,0.000000000000000000e+00,0.000000000000000000e+00
